,OD_conn,OD_syn,ID_conn,ID_syn,polarity_conn,polarity_syn
SLM_PPA,531.6987253765933,3015.9721900347627,15.385863267670915,70.84820393974508,-0.9437532564907418,-0.9540963224954447
SO_BP,1197.0416666666667,10938.3046875,720.1197916666666,4308.0390625,-0.2487645852293566,-0.43487577964389
SO_BS,1093.4242738589212,6269.20643153527,608.0207468879668,4606.922199170124,-0.28528898733258834,-0.15283786067702426
SO_OLM,1017.7233785822021,10681.6802413273,1341.8998491704374,3922.8515837104073,0.13738484465462247,-0.4627898202138665
SO_Tri,1196.3681626928471,9974.428471248248,645.1661991584853,4163.2412342215985,-0.2993166866461439,-0.4110427926306914
SP_AA,211.75845195729536,1526.0965302491104,547.7660142348755,2362.471975088968,0.44239201926191174,0.21508569122331608
SP_BS,3144.11762997386,20544.62706941621,750.0673830961371,4450.648852744699,-0.6147756819058691,-0.6438807983872875
SP_CCKBC,2209.9614733276885,19363.52201524132,383.4244990121366,1379.236522720858,-0.7043058741725203,-0.8670151301046426
SP_Ivy,1146.3387338400933,14960.230760694669,581.6075570104866,3207.6287521500303,-0.32682218181192324,-0.6468897450597048
SP_PC,232.14676909306408,529.2733102841153,310.40150147787125,1598.9716106091978,0.14423552083662164,0.5026199239681896
SP_PVBC,590.4438665710187,5174.542413916786,591.4513091822095,4990.089401004304,0.0008523959077408922,-0.018146551323355953
SR_SCA,1233.1435643564357,5494.94801980198,715.3230198019802,2047.7388613861385,-0.26575798053940614,-0.4570266819657294
