,x,y,z
0,2274.036376953125,468.2678527832031,4317.56201171875
1,2261.677734375,433.6149597167969,4376.4091796875
2,2260.28857421875,434.2311706542969,4380.8916015625
3,2227.677001953125,389.3360900878906,4414.85302734375
4,2224.7294921875,388.6231689453125,4416.2353515625
5,2223.466552734375,388.0802917480469,4418.537109375
6,2306.90087890625,447.01556396484375,4336.16552734375
7,2306.04052734375,437.9724426269531,4343.62646484375
8,2306.1328125,430.5658264160156,4352.267578125
9,2300.556396484375,432.63775634765625,4356.68603515625
10,2267.26025390625,366.3485412597656,4395.82373046875
11,2287.6845703125,417.5387268066406,4351.76611328125
12,2288.314453125,416.3949279785156,4347.57275390625
13,2284.70703125,414.43487548828125,4344.0634765625
14,2307.7958984375,425.7772216796875,4356.86962890625
15,2324.929931640625,400.0438232421875,4346.02490234375
16,2331.733154296875,400.7400817871094,4340.1552734375
17,2336.050537109375,400.8545227050781,4338.56591796875
18,2307.34130859375,425.687255859375,4357.29052734375
19,2299.011474609375,410.1608581542969,4360.17041015625
20,2264.832275390625,414.013427734375,4313.41015625
21,2294.335693359375,395.5696105957031,4339.2236328125
22,2288.985107421875,327.8839111328125,4389.78125
23,2289.77392578125,323.5472717285156,4390.45263671875
24,2289.4248046875,317.1760559082031,4388.98388671875
25,2255.56201171875,399.37884521484375,4371.4912109375
26,2323.516845703125,529.5860595703125,4344.4267578125
27,2331.736572265625,542.9948120117188,4347.884765625
28,2331.7978515625,542.2546997070312,4348.29638671875
29,2325.5595703125,499.5731506347656,4379.3662109375
30,2330.89697265625,542.5932006835938,4349.85400390625
31,2348.09912109375,459.626708984375,4382.3310546875
32,2334.228759765625,497.28265380859375,4363.58935546875
33,2324.950927734375,419.7444763183594,4339.775390625
34,2249.226318359375,431.370849609375,4330.783203125
35,2245.7568359375,428.9342346191406,4327.71240234375
36,2252.908447265625,441.1413879394531,4394.07177734375
37,2249.521728515625,450.4892272949219,4403.5849609375
38,2231.4541015625,446.6698303222656,4401.46826171875
39,2322.111083984375,447.5611267089844,4412.69287109375
40,2284.98583984375,373.3569030761719,4358.89697265625
41,2280.490234375,369.0623474121094,4356.71435546875
42,2272.408203125,367.78082275390625,4350.65234375
43,2264.91357421875,368.3118896484375,4346.91943359375
44,2271.8349609375,367.4043884277344,4347.6806640625
