Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,132491.0,5709.0,391.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2,119618.0,82838.0,7004.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
3,26433.0,125778.0,149108.0,5979.0,7.0,0.0,0.0,0.0,0.0,0.0
4,149.0,13750.0,136872.0,128318.0,4764.0,11.0,0.0,0.0,0.0,0.0
5,1.0,64.0,11632.0,125061.0,158688.0,14222.0,12.0,0.0,0.0,0.0
6,0.0,0.0,144.0,17034.0,179240.0,186763.0,6491.0,0.0,0.0,0.0
7,0.0,0.0,0.0,42.0,15105.0,156815.0,154710.0,7347.0,4.0,0.0
8,0.0,0.0,0.0,0.0,75.0,11199.0,171941.0,207536.0,11549.0,29.0
9,0.0,0.0,0.0,0.0,0.0,36.0,17548.0,215846.0,183220.0,9472.0
10,0.0,0.0,0.0,0.0,0.0,0.0,76.0,31395.0,213450.0,218730.0
