Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,215285.0,12045.0,2366.0,358.0,27.0,2.0,0.0,0.0,0.0,0.0
2,41582.0,46530.0,26339.0,6460.0,945.0,80.0,0.0,0.0,0.0,0.0
3,15298.0,28594.0,65134.0,34625.0,6329.0,468.0,0.0,0.0,0.0,0.0
4,5567.0,12827.0,42976.0,79427.0,27608.0,2220.0,2.0,0.0,0.0,0.0
5,3422.0,13724.0,44155.0,93667.0,119151.0,27024.0,363.0,0.0,0.0,0.0
6,1687.0,9975.0,38702.0,81843.0,137689.0,75087.0,5446.0,94.0,2.0,0.0
7,701.0,3740.0,12362.0,39267.0,95188.0,107988.0,32974.0,3341.0,118.0,0.0
8,69.0,295.0,682.0,3697.0,17917.0,52007.0,67894.0,28430.0,4530.0,163.0
9,6.0,39.0,67.0,287.0,1912.0,9716.0,38438.0,52124.0,25634.0,3345.0
10,0.0,2.0,4.0,11.0,83.0,815.0,7672.0,44628.0,68633.0,47041.0
