Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,145851.0,9990.0,276.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
2,134041.0,111530.0,7885.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3,28859.0,133941.0,142004.0,7368.0,48.0,0.0,0.0,0.0,0.0,0.0
4,363.0,16333.0,131552.0,136917.0,10298.0,35.0,0.0,0.0,0.0,0.0
5,2.0,301.0,21310.0,150873.0,175976.0,12617.0,10.0,0.0,0.0,0.0
6,0.0,1.0,286.0,20435.0,176871.0,176292.0,7311.0,37.0,0.0,0.0
7,0.0,0.0,0.0,110.0,15614.0,152960.0,142010.0,13053.0,102.0,2.0
8,0.0,0.0,0.0,0.0,327.0,33178.0,202338.0,213472.0,15028.0,59.0
9,0.0,0.0,0.0,0.0,0.0,580.0,38507.0,218783.0,148622.0,9333.0
10,0.0,0.0,0.0,0.0,0.0,4.0,526.0,46717.0,181120.0,166040.0
