Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,359755.0,8566.0,230.0,8.0,7.0,3.0,1.0,0.0,0.0,0.0
2,199095.0,51595.0,6530.0,175.0,61.0,49.0,11.0,1.0,0.0,0.0
3,97319.0,83141.0,55043.0,7011.0,864.0,291.0,224.0,97.0,5.0,0.0
4,19934.0,58010.0,65507.0,41017.0,12711.0,3146.0,1429.0,1504.0,539.0,26.0
5,3293.0,23707.0,59025.0,48116.0,58721.0,21374.0,5638.0,5371.0,4143.0,1264.0
6,684.0,6053.0,27886.0,39003.0,54760.0,56671.0,20085.0,12360.0,11137.0,5211.0
7,15.0,651.0,7331.0,21831.0,45984.0,53499.0,59845.0,30626.0,20265.0,10754.0
8,0.0,21.0,712.0,5388.0,23294.0,37057.0,45174.0,63763.0,33047.0,15130.0
9,0.0,0.0,14.0,475.0,6217.0,18154.0,26780.0,46495.0,57703.0,19203.0
10,0.0,0.0,0.0,14.0,868.0,7607.0,27928.0,60529.0,89476.0,93752.0
