Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,59.0,335.0,490.0,574.0,368.0,14.0,0.0,0.0
4,0.0,0.0,253.0,1544.0,2531.0,2567.0,1336.0,30.0,0.0,0.0
5,0.0,0.0,207.0,1562.0,3028.0,3631.0,1280.0,15.0,0.0,0.0
6,0.0,0.0,122.0,992.0,3086.0,4240.0,1944.0,13.0,0.0,0.0
7,0.0,0.0,46.0,288.0,1056.0,2263.0,2174.0,44.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3.0,12.0,34.0,1.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
