Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,94076.0,7877.0,2326.0,408.0,14.0,0.0,0.0,0.0,0.0,0.0
2,99514.0,63046.0,5541.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0
3,29673.0,106532.0,99647.0,4454.0,3.0,1.0,0.0,0.0,0.0,0.0
4,157.0,15495.0,104417.0,88933.0,3550.0,16.0,0.0,0.0,0.0,0.0
5,0.0,39.0,10768.0,103600.0,119964.0,12014.0,16.0,0.0,0.0,0.0
6,0.0,0.0,136.0,21968.0,161363.0,162373.0,7120.0,2.0,0.0,0.0
7,0.0,0.0,0.0,128.0,25130.0,160723.0,137794.0,5312.0,1.0,0.0
8,0.0,0.0,0.0,0.0,118.0,10758.0,151750.0,180299.0,9200.0,10.0
9,0.0,0.0,0.0,0.0,0.0,58.0,10677.0,193410.0,180637.0,8446.0
10,0.0,0.0,0.0,0.0,0.0,0.0,63.0,22015.0,161190.0,183923.0
