Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,352413.0,26811.0,6098.0,984.0,146.0,7.0,0.0,0.0,0.0,0.0
2,55286.0,62038.0,34024.0,8068.0,1518.0,116.0,0.0,0.0,0.0,0.0
3,17766.0,31268.0,69459.0,30860.0,7322.0,618.0,0.0,0.0,0.0,0.0
4,7078.0,14227.0,47000.0,66926.0,26868.0,2821.0,12.0,0.0,0.0,0.0
5,5303.0,16739.0,49409.0,86395.0,113346.0,29832.0,569.0,1.0,0.0,0.0
6,3908.0,13579.0,43212.0,74132.0,130320.0,78754.0,6971.0,101.0,1.0,0.0
7,1072.0,4127.0,12264.0,34833.0,90840.0,110761.0,35608.0,2885.0,134.0,1.0
8,78.0,244.0,613.0,3121.0,15783.0,47144.0,54313.0,14897.0,2791.0,112.0
9,16.0,25.0,48.0,165.0,1633.0,10795.0,46286.0,43375.0,22868.0,2477.0
10,1.0,2.0,2.0,12.0,120.0,802.0,8332.0,29835.0,71103.0,50582.0
