Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,505334.0,8514.0,115.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2,218833.0,59221.0,4627.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0
3,73867.0,95309.0,56239.0,6402.0,293.0,45.0,30.0,19.0,4.0,0.0
4,9716.0,55429.0,79977.0,56266.0,8820.0,1120.0,706.0,720.0,165.0,5.0
5,440.0,10005.0,62540.0,79909.0,70316.0,20191.0,5556.0,5645.0,1474.0,197.0
6,32.0,919.0,19105.0,66718.0,80217.0,78602.0,27149.0,15502.0,4153.0,604.0
7,0.0,61.0,3258.0,24773.0,56708.0,61642.0,72696.0,35986.0,5782.0,574.0
8,0.0,0.0,171.0,4642.0,28568.0,48608.0,60289.0,99294.0,19619.0,959.0
9,0.0,0.0,0.0,106.0,5198.0,27264.0,58743.0,107711.0,85876.0,15507.0
10,0.0,0.0,0.0,0.0,394.0,7377.0,33543.0,120523.0,154925.0,149439.0
