Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,83727.0,36841.0,13948.0,2995.0,381.0,23.0,0.0,0.0,0.0,0.0
2,24625.0,50043.0,30190.0,10252.0,2296.0,228.0,3.0,0.0,0.0,0.0
3,8375.0,31858.0,61426.0,29725.0,8922.0,1308.0,12.0,0.0,0.0,0.0
4,5032.0,13988.0,39772.0,51948.0,21903.0,3925.0,64.0,1.0,0.0,0.0
5,5277.0,17176.0,40506.0,68138.0,80369.0,29831.0,969.0,9.0,0.0,0.0
6,4579.0,14884.0,40961.0,59579.0,95424.0,72382.0,6162.0,173.0,1.0,0.0
7,1676.0,4601.0,14683.0,33925.0,70431.0,104895.0,34555.0,3855.0,167.0,4.0
8,109.0,259.0,1222.0,5249.0,19350.0,48616.0,49319.0,12960.0,1944.0,63.0
9,18.0,38.0,105.0,369.0,2755.0,11889.0,46717.0,37529.0,15123.0,2117.0
10,0.0,1.0,3.0,1.0,174.0,837.0,9649.0,35900.0,64969.0,55377.0
