Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,480966.0,8938.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,217946.0,59124.0,4829.0,35.0,1.0,2.0,2.0,0.0,0.0,0.0
3,75808.0,94087.0,57858.0,7128.0,399.0,73.0,61.0,56.0,5.0,0.0
4,10551.0,49537.0,63104.0,42320.0,8848.0,1167.0,608.0,777.0,224.0,6.0
5,692.0,12281.0,58357.0,58117.0,57941.0,17755.0,4480.0,5268.0,1785.0,208.0
6,70.0,1656.0,20430.0,48996.0,64007.0,61557.0,22019.0,15169.0,4953.0,773.0
7,3.0,119.0,3785.0,17834.0,39450.0,41219.0,52620.0,30228.0,5622.0,797.0
8,0.0,3.0,278.0,4012.0,20665.0,32607.0,46031.0,87276.0,19090.0,1331.0
9,0.0,0.0,1.0,119.0,4627.0,19165.0,42074.0,80981.0,74460.0,11366.0
10,0.0,0.0,0.0,1.0,393.0,6140.0,28354.0,96198.0,131024.0,126027.0
