Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,52609.0,3601.0,457.0,374.0,9.0,0.0,0.0,0.0,0.0,0.0
2,45972.0,50141.0,5053.0,326.0,41.0,0.0,0.0,0.0,0.0,0.0
3,7792.0,61457.0,71085.0,5192.0,53.0,0.0,0.0,0.0,0.0,0.0
4,41.0,10452.0,86643.0,91051.0,6629.0,14.0,0.0,0.0,0.0,0.0
5,0.0,115.0,18660.0,119227.0,165614.0,19482.0,80.0,15.0,0.0,0.0
6,0.0,0.0,250.0,23767.0,207768.0,220940.0,18236.0,1216.0,20.0,0.0
7,0.0,0.0,0.0,174.0,38612.0,240752.0,267514.0,45656.0,584.0,0.0
8,0.0,0.0,0.0,0.0,428.0,47568.0,238661.0,252671.0,8592.0,1.0
9,0.0,0.0,0.0,0.0,1.0,315.0,32497.0,138331.0,49186.0,155.0
10,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2534.0,11182.0,713.0
