Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,46756.0,28542.0,9704.0,1905.0,398.0,67.0,1.0,0.0,0.0,0.0
2,14284.0,35054.0,20877.0,5254.0,1286.0,212.0,4.0,0.0,0.0,0.0
3,5653.0,24180.0,36773.0,17172.0,5360.0,1122.0,23.0,0.0,0.0,0.0
4,3737.0,11307.0,26839.0,28587.0,13519.0,3702.0,54.0,0.0,0.0,0.0
5,4269.0,13425.0,24312.0,37568.0,43883.0,19811.0,813.0,11.0,0.0,0.0
6,3604.0,10169.0,21034.0,26498.0,46140.0,36362.0,3833.0,157.0,1.0,0.0
7,1489.0,4008.0,12165.0,21099.0,43662.0,56213.0,18554.0,2193.0,153.0,3.0
8,217.0,408.0,1792.0,5871.0,16155.0,31858.0,31551.0,9164.0,1614.0,87.0
9,31.0,46.0,205.0,791.0,3070.0,9364.0,29157.0,23463.0,9877.0,1844.0
10,0.0,0.0,1.0,42.0,298.0,1316.0,11139.0,32285.0,45011.0,32672.0
