Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,40832.0,6040.0,369.0,113.0,3.0,0.0,0.0,0.0,0.0,0.0
2,31876.0,39443.0,2539.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2812.0,48295.0,65438.0,3963.0,9.0,0.0,0.0,0.0,0.0,0.0
4,0.0,5060.0,69521.0,76702.0,5944.0,9.0,0.0,0.0,0.0,0.0
5,0.0,22.0,12439.0,85504.0,120912.0,14989.0,36.0,0.0,0.0,0.0
6,0.0,0.0,214.0,20134.0,144729.0,161133.0,11234.0,372.0,5.0,0.0
7,0.0,0.0,0.0,126.0,22088.0,183164.0,182043.0,23817.0,123.0,0.0
8,0.0,0.0,0.0,0.0,761.0,47645.0,156208.0,106521.0,2564.0,3.0
9,0.0,0.0,0.0,0.0,0.0,523.0,18850.0,52416.0,16088.0,599.0
10,0.0,0.0,0.0,0.0,0.0,1.0,139.0,3311.0,10563.0,5475.0
