Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,87071.0,30510.0,1478.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2,88228.0,130184.0,26328.0,627.0,2.0,0.0,0.0,0.0,0.0,0.0
3,69937.0,137862.0,114139.0,15714.0,432.0,4.0,0.0,0.0,0.0,0.0
4,30854.0,91476.0,126170.0,63711.0,7497.0,303.0,0.0,0.0,0.0,0.0
5,4219.0,29315.0,85614.0,122039.0,64439.0,14605.0,225.0,0.0,0.0,0.0
6,408.0,5438.0,27036.0,74970.0,107329.0,73231.0,7931.0,244.0,8.0,3.0
7,7.0,228.0,1722.0,12007.0,62485.0,100278.0,47217.0,8588.0,422.0,21.0
8,1.0,11.0,173.0,1395.0,28189.0,77613.0,75774.0,48906.0,12398.0,1073.0
9,0.0,0.0,4.0,110.0,4915.0,31812.0,54746.0,49266.0,41813.0,8421.0
10,0.0,0.0,1.0,11.0,733.0,6899.0,28674.0,53081.0,63907.0,51244.0
