Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,43337.0,14559.0,20743.0,18350.0,3366.0,22.0,0.0,0.0,0.0,0.0
2,54190.0,52471.0,13740.0,8732.0,3773.0,629.0,17.0,0.0,0.0,0.0
3,22549.0,85377.0,90690.0,9797.0,1714.0,814.0,791.0,10.0,0.0,0.0
4,562.0,18693.0,97405.0,77307.0,4319.0,387.0,921.0,329.0,1.0,0.0
5,3.0,139.0,19329.0,101169.0,104708.0,7585.0,1203.0,330.0,4.0,0.0
6,0.0,0.0,66.0,12278.0,129285.0,118079.0,21722.0,834.0,13.0,0.0
7,0.0,0.0,2.0,348.0,40340.0,162110.0,208617.0,15703.0,4.0,0.0
8,0.0,0.0,0.0,2.0,999.0,50096.0,248421.0,251297.0,7295.0,2.0
9,0.0,0.0,0.0,0.0,0.0,121.0,11259.0,206083.0,173382.0,6138.0
10,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7675.0,137911.0,42770.0
