Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,82.0,729.0,900.0,1411.0,1328.0,955.0,617.0,150.0,10.0
3,0.0,749.0,11904.0,12888.0,16335.0,15491.0,12179.0,6494.0,1245.0,65.0
4,0.0,365.0,6837.0,10645.0,16312.0,11382.0,6002.0,2463.0,565.0,30.0
5,0.0,206.0,2143.0,6541.0,18394.0,12163.0,3393.0,783.0,200.0,15.0
6,0.0,92.0,895.0,2289.0,14296.0,19974.0,5747.0,574.0,60.0,5.0
7,0.0,34.0,398.0,1541.0,8021.0,15243.0,11075.0,1748.0,85.0,0.0
8,0.0,36.0,637.0,1782.0,6894.0,10046.0,11212.0,7962.0,1123.0,19.0
9,0.0,3.0,155.0,340.0,919.0,1279.0,1503.0,4084.0,3078.0,210.0
10,0.0,2.0,9.0,27.0,47.0,68.0,58.0,184.0,209.0,24.0
