Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,45.0,67.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,9530.0,3227.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,16029.0,40212.0,2800.0,150.0,22.0,6.0,12.0,5.0,0.0
4,0.0,830.0,35295.0,59624.0,18688.0,5584.0,1477.0,961.0,307.0,0.0
5,0.0,5.0,3600.0,67520.0,128048.0,64618.0,22393.0,6666.0,1819.0,51.0
6,0.0,0.0,62.0,9793.0,92234.0,144168.0,39163.0,22559.0,4966.0,245.0
7,0.0,0.0,0.0,221.0,13003.0,69241.0,70509.0,22536.0,10284.0,440.0
8,0.0,0.0,0.0,6.0,372.0,5538.0,34048.0,31678.0,6256.0,934.0
9,0.0,0.0,0.0,0.0,15.0,315.0,1642.0,13732.0,12684.0,1356.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,909.0,234.0
