Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,187.0,1034.0,1742.0,1012.0,473.0,205.0,116.0,221.0,464.0,252.0
2,789.0,7922.0,14144.0,16211.0,20078.0,16593.0,10248.0,8372.0,4452.0,2442.0
3,227.0,4896.0,13181.0,23486.0,30858.0,32241.0,23031.0,12531.0,3968.0,1069.0
4,73.0,1227.0,6428.0,19443.0,25264.0,21297.0,14161.0,5721.0,1404.0,209.0
5,37.0,605.0,1954.0,13471.0,36954.0,27542.0,10603.0,2260.0,480.0,78.0
6,17.0,359.0,1352.0,5892.0,23498.0,32206.0,11311.0,1124.0,161.0,49.0
7,18.0,270.0,1323.0,5947.0,13590.0,25789.0,17912.0,2072.0,76.0,16.0
8,27.0,488.0,2795.0,8661.0,22738.0,23679.0,27996.0,14842.0,1431.0,56.0
9,8.0,173.0,1165.0,2640.0,9908.0,12274.0,13689.0,28581.0,11163.0,1076.0
10,0.0,0.0,13.0,72.0,589.0,1073.0,2024.0,10839.0,21801.0,9414.0
