Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,488651.0,6705.0,64.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
2,195538.0,63936.0,4378.0,21.0,4.0,2.0,2.0,2.0,0.0,0.0
3,44229.0,92366.0,63124.0,3673.0,99.0,26.0,22.0,10.0,0.0,0.0
4,2908.0,30383.0,87855.0,52896.0,7075.0,569.0,319.0,238.0,34.0,1.0
5,88.0,4208.0,50107.0,77124.0,60796.0,13488.0,1870.0,936.0,156.0,8.0
6,1.0,234.0,9229.0,62263.0,86622.0,76430.0,18685.0,5117.0,824.0,45.0
7,0.0,11.0,675.0,13121.0,62599.0,81358.0,84185.0,25298.0,1609.0,46.0
8,0.0,0.0,18.0,1455.0,22215.0,65702.0,88626.0,111830.0,16508.0,370.0
9,0.0,0.0,0.0,11.0,2257.0,20942.0,73426.0,131015.0,99889.0,12315.0
10,0.0,0.0,0.0,0.0,66.0,2104.0,17619.0,106840.0,183901.0,192314.0
