Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,102835.0,32120.0,5955.0,320.0,8.0,0.0,0.0,0.0,0.0,0.0
2,44136.0,72886.0,39599.0,4863.0,187.0,0.0,0.0,0.0,0.0,0.0
3,30362.0,73387.0,125217.0,36944.0,2744.0,47.0,0.0,0.0,0.0,0.0
4,19466.0,51446.0,107057.0,97078.0,19841.0,1033.0,2.0,0.0,0.0,0.0
5,11537.0,40917.0,108658.0,140282.0,90857.0,17908.0,499.0,13.0,0.0,0.0
6,3905.0,12889.0,53916.0,99501.0,134450.0,66682.0,8290.0,549.0,5.0,1.0
7,273.0,849.0,6968.0,24820.0,75686.0,91175.0,41472.0,8410.0,512.0,33.0
8,31.0,89.0,714.0,3751.0,23839.0,65072.0,77461.0,46386.0,8160.0,834.0
9,1.0,2.0,53.0,329.0,3920.0,21705.0,50795.0,63029.0,34577.0,10047.0
10,0.0,0.0,9.0,20.0,472.0,5475.0,31485.0,71572.0,64809.0,57622.0
