Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,413149.0,8416.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,190309.0,97562.0,6811.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0
3,24766.0,122886.0,110442.0,5571.0,17.0,1.0,0.0,0.0,1.0,0.0
4,702.0,19411.0,114557.0,77195.0,5301.0,94.0,13.0,10.0,5.0,0.0
5,9.0,917.0,29636.0,107207.0,91116.0,10828.0,356.0,58.0,9.0,1.0
6,0.0,14.0,2391.0,42787.0,137475.0,101045.0,12326.0,775.0,84.0,1.0
7,0.0,1.0,47.0,2708.0,66125.0,126136.0,93169.0,17574.0,771.0,0.0
8,0.0,0.0,0.0,155.0,11003.0,83277.0,126576.0,136866.0,19410.0,189.0
9,0.0,0.0,0.0,1.0,609.0,13307.0,70400.0,153704.0,121129.0,10720.0
10,0.0,0.0,0.0,0.0,6.0,507.0,8485.0,100501.0,222660.0,247299.0
