Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,37828.0,37624.0,62213.0,48361.0,10705.0,201.0,0.0,0.0,0.0,0.0
2,44999.0,69763.0,26884.0,24782.0,12566.0,3587.0,88.0,0.0,0.0,0.0
3,29303.0,103095.0,93537.0,12866.0,3064.0,2586.0,906.0,9.0,0.0,0.0
4,948.0,27235.0,108474.0,84473.0,4436.0,359.0,425.0,82.0,0.0,0.0
5,0.0,179.0,18513.0,96712.0,92433.0,9827.0,515.0,30.0,1.0,0.0
6,0.0,0.0,83.0,18904.0,126204.0,115339.0,11920.0,61.0,1.0,0.0
7,0.0,0.0,1.0,269.0,37391.0,161156.0,168472.0,8112.0,0.0,0.0
8,0.0,0.0,0.0,0.0,523.0,28936.0,165712.0,186159.0,8521.0,4.0
9,0.0,0.0,0.0,0.0,0.0,58.0,6193.0,158328.0,177660.0,7104.0
10,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6610.0,133476.0,66435.0
