Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,22986.0,20877.0,6970.0,1219.0,345.0,94.0,7.0,0.0,0.0,0.0
2,6782.0,27242.0,24150.0,11207.0,4702.0,1884.0,152.0,11.0,0.0,0.0
3,1943.0,15137.0,33029.0,25710.0,14043.0,6835.0,637.0,36.0,4.0,0.0
4,792.0,4975.0,18315.0,32287.0,20935.0,10140.0,712.0,25.0,0.0,0.0
5,787.0,3910.0,10239.0,26694.0,35402.0,20167.0,1646.0,75.0,6.0,0.0
6,895.0,4046.0,10086.0,20163.0,37001.0,39009.0,5038.0,224.0,12.0,0.0
7,703.0,2945.0,8519.0,19668.0,31742.0,52853.0,19402.0,2754.0,196.0,2.0
8,200.0,821.0,2962.0,8621.0,16844.0,31975.0,26869.0,9405.0,1516.0,54.0
9,46.0,164.0,723.0,2085.0,5594.0,11602.0,26968.0,24307.0,10502.0,1456.0
10,0.0,10.0,35.0,152.0,669.0,1902.0,8661.0,24422.0,42932.0,27129.0
