Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,241610.0,11175.0,830.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0
2,141510.0,39251.0,9545.0,1192.0,89.0,33.0,7.0,2.0,0.0,0.0
3,90009.0,50834.0,34062.0,10605.0,1672.0,387.0,135.0,38.0,7.0,1.0
4,41103.0,44435.0,43928.0,33081.0,12295.0,3344.0,964.0,372.0,122.0,37.0
5,14093.0,34113.0,42050.0,40436.0,40630.0,21109.0,6368.0,2207.0,892.0,683.0
6,3820.0,15186.0,28076.0,30108.0,38111.0,41930.0,20195.0,6111.0,1925.0,2236.0
7,696.0,4316.0,11830.0,17894.0,24392.0,33575.0,36444.0,16834.0,4174.0,4073.0
8,117.0,1183.0,4725.0,10498.0,20100.0,27402.0,35574.0,36785.0,13361.0,8672.0
9,2.0,61.0,873.0,3543.0,12509.0,24148.0,29318.0,38008.0,28462.0,16965.0
10,0.0,2.0,106.0,970.0,6598.0,19291.0,34620.0,47315.0,49231.0,59875.0
