Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,188447.0,22019.0,629.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2,167936.0,98988.0,15634.0,321.0,1.0,0.0,0.0,0.0,0.0,0.0
3,109618.0,117962.0,71456.0,6655.0,230.0,0.0,0.0,0.0,0.0,0.0
4,26913.0,65515.0,94393.0,37669.0,7505.0,270.0,0.0,0.0,0.0,0.0
5,3927.0,24468.0,76564.0,80848.0,65056.0,13476.0,388.0,18.0,5.0,0.0
6,308.0,3389.0,22129.0,50665.0,84107.0,52640.0,7481.0,706.0,92.0,1.0
7,35.0,191.0,2113.0,17545.0,59223.0,60639.0,36949.0,10514.0,1481.0,80.0
8,2.0,27.0,273.0,4513.0,32885.0,52273.0,37083.0,39401.0,9326.0,383.0
9,0.0,5.0,45.0,1054.0,9963.0,25057.0,28910.0,37209.0,29267.0,3784.0
10,0.0,0.0,3.0,76.0,1424.0,7179.0,19707.0,46526.0,55148.0,37663.0
