Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,436726.0,8264.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,206691.0,55542.0,5786.0,52.0,3.0,1.0,0.0,0.0,0.0,0.0
3,85501.0,94415.0,60670.0,7240.0,463.0,80.0,63.0,55.0,2.0,0.0
4,11646.0,56192.0,73633.0,45725.0,9915.0,1133.0,756.0,969.0,158.0,6.0
5,1129.0,15586.0,64584.0,65349.0,67372.0,20668.0,7021.0,10430.0,4586.0,656.0
6,127.0,2575.0,22448.0,49401.0,60543.0,61721.0,26219.0,24900.0,12447.0,2663.0
7,3.0,200.0,4088.0,19583.0,39941.0,46290.0,65545.0,48859.0,19226.0,4561.0
8,0.0,5.0,308.0,3622.0,16779.0,26377.0,40317.0,89441.0,27046.0,3853.0
9,0.0,0.0,3.0,191.0,3634.0,14958.0,31995.0,75686.0,79484.0,14027.0
10,0.0,0.0,0.0,0.0,325.0,5590.0,28171.0,85938.0,120112.0,109519.0
