Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,45475.0,19295.0,17367.0,11146.0,2402.0,92.0,0.0,0.0,0.0,0.0
2,62787.0,69105.0,11044.0,2328.0,972.0,579.0,20.0,0.0,0.0,0.0
3,31164.0,89506.0,61026.0,4165.0,168.0,184.0,113.0,0.0,0.0,0.0
4,572.0,21917.0,88458.0,75005.0,3053.0,116.0,31.0,2.0,0.0,0.0
5,0.0,56.0,12227.0,101020.0,93645.0,12126.0,140.0,0.0,0.0,0.0
6,0.0,0.0,173.0,25408.0,139239.0,134298.0,9212.0,6.0,0.0,0.0
7,0.0,0.0,3.0,342.0,32044.0,141711.0,134894.0,5539.0,4.0,0.0
8,0.0,0.0,0.0,0.0,310.0,15839.0,136690.0,169255.0,10655.0,5.0
9,0.0,0.0,0.0,0.0,0.0,60.0,9191.0,163577.0,159811.0,6122.0
10,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12504.0,137764.0,110982.0
