Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,8556.0,5054.0,178.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0
2,14680.0,45659.0,2252.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
3,1251.0,43689.0,54177.0,3844.0,6.0,0.0,0.0,0.0,0.0,0.0
4,0.0,3285.0,54347.0,63674.0,4386.0,12.0,0.0,0.0,0.0,0.0
5,0.0,0.0,8386.0,64378.0,93775.0,11523.0,25.0,0.0,0.0,0.0
6,0.0,0.0,81.0,10033.0,110639.0,122640.0,8207.0,58.0,0.0,0.0
7,0.0,0.0,0.0,72.0,13164.0,108193.0,69573.0,3989.0,36.0,0.0
8,0.0,0.0,0.0,0.0,235.0,14955.0,46694.0,18126.0,708.0,0.0
9,0.0,0.0,0.0,0.0,0.0,45.0,1566.0,4086.0,793.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
