Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,43374.0,4482.0,1984.0,1275.0,111.0,0.0,0.0,0.0,0.0,0.0
2,61210.0,55006.0,7494.0,2538.0,700.0,36.0,0.0,0.0,0.0,0.0
3,14131.0,81874.0,76141.0,7138.0,850.0,125.0,77.0,1.0,0.0,0.0
4,144.0,15632.0,95435.0,82920.0,6743.0,141.0,405.0,131.0,0.0,0.0
5,0.0,235.0,19478.0,113800.0,134627.0,10294.0,2110.0,775.0,7.0,0.0
6,0.0,0.0,145.0,17916.0,165264.0,159892.0,45883.0,4168.0,6.0,0.0
7,0.0,0.0,1.0,428.0,52502.0,190647.0,257086.0,26598.0,3.0,0.0
8,0.0,0.0,0.0,0.0,1484.0,72814.0,344150.0,329231.0,9554.0,4.0
9,0.0,0.0,0.0,0.0,0.0,325.0,24177.0,231694.0,138035.0,2747.0
10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7716.0,46780.0,3549.0
