Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,215473.0,8712.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,201811.0,130523.0,5200.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,29219.0,149267.0,136768.0,6420.0,11.0,0.0,0.0,0.0,0.0,0.0
4,286.0,16224.0,140442.0,110558.0,6016.0,7.0,0.0,0.0,0.0,0.0
5,2.0,325.0,25206.0,138601.0,133176.0,10147.0,33.0,4.0,0.0,0.0
6,0.0,0.0,493.0,25925.0,165556.0,127064.0,8824.0,164.0,14.0,0.0
7,0.0,0.0,1.0,679.0,46802.0,167074.0,122848.0,15081.0,287.0,0.0
8,0.0,0.0,0.0,8.0,2127.0,70698.0,196093.0,183294.0,16813.0,52.0
9,0.0,0.0,0.0,0.0,35.0,3627.0,68416.0,188953.0,125143.0,7545.0
10,0.0,0.0,0.0,0.0,0.0,73.0,2960.0,66231.0,186530.0,219183.0
