Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,16673.0,14040.0,8987.0,4155.0,2739.0,1360.0,602.0,372.0,443.0,476.0
2,6169.0,14432.0,19706.0,18536.0,18344.0,11349.0,5338.0,3243.0,1748.0,1058.0
3,1783.0,6893.0,20889.0,26141.0,30323.0,23238.0,12910.0,5951.0,2005.0,712.0
4,610.0,2213.0,12446.0,27508.0,34597.0,24399.0,12209.0,3953.0,975.0,245.0
5,387.0,1185.0,4658.0,18014.0,46025.0,31074.0,10925.0,2202.0,365.0,85.0
6,260.0,913.0,3356.0,8791.0,33431.0,37253.0,11447.0,1152.0,155.0,31.0
7,206.0,744.0,3675.0,10352.0,23747.0,36142.0,23329.0,2867.0,157.0,9.0
8,123.0,588.0,3243.0,10224.0,28277.0,36332.0,37519.0,15552.0,1944.0,68.0
9,9.0,89.0,504.0,1692.0,8212.0,12269.0,22496.0,34731.0,13230.0,2051.0
10,0.0,0.0,10.0,88.0,667.0,1634.0,6055.0,27789.0,44362.0,24275.0
