Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,10.0,32.0,79.0,24.0,15.0,1.0,0.0,0.0,0.0
4,0.0,45.0,129.0,279.0,263.0,131.0,51.0,4.0,4.0,1.0
5,0.0,53.0,296.0,993.0,3405.0,1924.0,657.0,148.0,575.0,198.0
6,0.0,30.0,288.0,820.0,4010.0,4598.0,1469.0,453.0,1554.0,1174.0
7,0.0,3.0,56.0,354.0,1555.0,3443.0,2231.0,661.0,933.0,918.0
8,0.0,0.0,11.0,76.0,560.0,1290.0,1619.0,1757.0,1191.0,372.0
9,0.0,0.0,7.0,80.0,908.0,1006.0,885.0,1107.0,1372.0,392.0
10,0.0,0.0,1.0,44.0,769.0,695.0,511.0,273.0,665.0,265.0
