Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,424641.0,6759.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,211427.0,53297.0,5722.0,89.0,4.0,1.0,0.0,2.0,0.0,0.0
3,80152.0,90379.0,62176.0,6360.0,272.0,47.0,59.0,45.0,0.0,0.0
4,9612.0,51455.0,71581.0,46984.0,8394.0,1112.0,752.0,1022.0,172.0,12.0
5,587.0,11205.0,58912.0,61063.0,56507.0,18471.0,7036.0,9164.0,2709.0,320.0
6,60.0,1758.0,20811.0,47865.0,55784.0,60276.0,26296.0,21417.0,6781.0,1123.0
7,0.0,92.0,3419.0,16352.0,29217.0,34902.0,56841.0,35527.0,7677.0,1053.0
8,0.0,0.0,110.0,2668.0,12936.0,22134.0,39856.0,84170.0,17184.0,1072.0
9,0.0,0.0,1.0,74.0,2646.0,14282.0,36454.0,78065.0,69505.0,9726.0
10,0.0,0.0,0.0,0.0,280.0,5823.0,27338.0,90100.0,132676.0,126580.0
